"","x"
"452","Sample_Box"
"453","Sample_Box"
"454","Sample_Box"
"455","IMM_check"
"456","IMM_check"
"457","IMM_check"
"458","Trash"
"459","IMM_check"
"460","IMM_check"
"461","IMM_check"
"462","Sample_Box"
"463","Sample_Box_IMM"
"464","Sample_Box_IMM"
"465","Sample_Box_IMM"
"466","Sample_Box"
"467","IMM_check"
"468","IMM_check"
"469","IMM_check"
"470","IMM_check"
"471","IMM_check"
"472","Sample_Box"
"473","Sample_Box_IMM"
"474","Sample_Box_IMM"
"475","IMM_check"
"476","IMM_check"
"477","IMM_check"
"478","Trash"
"479","IMM_check"
"480","Sample_Box"
"481","IMM_check"
"482","IMM_check"
"483","Sample_Box"
"484","IMM_check"
"485","IMM_check"
"486","Sample_Box"
"487","IMM_check"
"488","Sample_Box"
"489","Sample_Box"
"490","IMM_check"
"491","IMM_check"
"492","IMM_check"
"493","IMM_check"
"494","Sample_Box"
"495","Sample_Box"
"496","Sample_Box"
"497","IMM_check"
"498","IMM_check"
"499","Trash"
"500","IMM_check"
"501","Sample_Box"
"502","IMM_check"
"503","IMM_check"
"504","Sample_Box"
"505","IMM_check"
"506","Sample_Box"
"507","Trash"
"508","Sample_Box"
"509","Trash"
"510","Sample_Box"
"511","IMM_check"
"512","Sample_Box"
"513","IMM_check"
"514","Sample_Box"
"515","IMM_check"
"516","IMM_check"
"517","Sample_Box"
"518","Sample_Box"
"519","Sample_Box"
"520","IMM_check"
"521","IMM_check"
"522","Sample_Box"
"523","Sample_Box"
"524","Sample_Box"
"525","Trash"
"526","Sample_Box"
"527","Sample_Box"
"528","Sample_Box"
"529","Sample_Box_IMM"
"530","Sample_Box_IMM"
"531","Sample_Box_IMM"
"532","Sample_Box_IMM"
"533","Sample_Box_IMM"
"534","Sample_Box_IMM"
"535","Sample_Box"
"536","Trash"
"537","Sample_Box"
"538","Sample_Box"
"539","Sample_Box"
"540","Sample_Box"
"541","IMM_check"
"542","Sample_Box"
"543","Sample_Box"
"544","Sample_Box"
"545","Sample_Box"
"546","Sample_Box_IMM"
"547","Sample_Box_IMM"
"548","Pool-Box"
"549","Trash"
"550","Sample_Box"
"551","Sample_Box"
"552","IMM_check"
"553","Sample_Box"
"554","Sample_Box"
"555","Sample_Box"
"556","Sample_Box"
"557","Sample_Box"
"558","IMM_check"
"559","Trash"
"560","Sample_Box"
"561","Sample_Box"
"562","Sample_Box"
"563","Sample_Box"
"564","Trash"
"565","Sample_Box"
"566","Sample_Box"
"567","Sample_Box"
"568","Sample_Box"
"569","Trash"
"570","Sample_Box"
"571","Sample_Box"
"572","Sample_Box"
"573","Sample_Box"
"574","Sample_Box"
"575","Sample_Box"
"576","Sample_Box"
"577","Sample_Box"
"578","Sample_Box"
"579","Sample_Box_IMM"
"580","Sample_Box_IMM"
"581","Sample_Box_IMM"
"582","Sample_Box_IMM"
"583","Sample_Box_IMM"
"584","Sample_Box_IMM"
"585","Sample_Box_IMM"
"586","Sample_Box_IMM"
"587","Sample_Box_IMM"
"588","Sample_Box_IMM"
"589","Sample_Box_IMM"
"590","Sample_Box"
"591","Sample_Box_IMM"
"592","Sample_Box_IMM"
"593","Sample_Box"
"594","Sample_Box"
"595","Sample_Box"
"596","Sample_Box"
"597","Trash"
"598","Trash"
"599","Sample_Box"
"600","Sample_Box"
"601","Trash"
"602","Sample_Box"
"603","Sample_Box_IMM"
"604","Sample_Box"
"605","IMM_check"
"606","IMM_check"
"607","Sample_Box"
"608","Sample_Box"
"609","Sample_Box"
"610","Sample_Box"
"611","Trash"
"612","Trash"
"613","Sample_Box"
"614","Pool-Box"
"615","Sample_Box"
"616","Sample_Box"
"617","Sample_Box"
"618","Trash"
"619","Sample_Box"
"620","Sample_Box"
"621","Pool-Box"
"622","Trash"
"623","Sample_Box"
"624","Sample_Box"
"625","Pool-Box"
"626","Sample_Box"
"627","Sample_Box"
"628","Sample_Box"
"629","Sample_Box"
"630","IMM_check"
"631","Sample_Box_IMM"
"632","Sample_Box_IMM"
"633","Sample_Box_IMM"
"634","Sample_Box_IMM"
"635","Sample_Box"
"636","Sample_Box"
"637","Sample_Box"
"638","Sample_Box_IMM"
"639","Sample_Box_IMM"
"640","Trash"
"641","IMM_check"
"642","Sample_Box"
"643","Sample_Box_IMM"
"644","Sample_Box_IMM"
"645","Sample_Box"
"646","Sample_Box"
"647","Sample_Box_IMM"
"648","Sample_Box_IMM"
"649","Sample_Box_IMM"
"650","Sample_Box_IMM"
"651","Sample_Box_IMM"
"652","Sample_Box_IMM"
"653","Sample_Box_IMM"
"654","Sample_Box_IMM"
"655","Sample_Box_IMM"
"656","Sample_Box_IMM"
"657","Sample_Box"
"658","Sample_Box"
"659","Sample_Box"
"660","Sample_Box_IMM"
"661","Sample_Box_IMM"
"662","Sample_Box_IMM"
"663","Sample_Box_IMM"
"664","Sample_Box_IMM"
"665","Sample_Box_IMM"
"666","Sample_Box_IMM"
"667","Sample_Box_IMM"
"668","Sample_Box_IMM"
"669","Sample_Box_IMM"
"670","Sample_Box_IMM"
"671","Sample_Box_IMM"
"672","Sample_Box_IMM"
"673","Sample_Box"
"674","Sample_Box"
"675","Sample_Box"
"676","Sample_Box"
"677","Sample_Box_IMM"
"678","Sample_Box_IMM"
"679","Sample_Box_IMM"
"680","Sample_Box_IMM"
"681","Sample_Box_IMM"
"682","Sample_Box_IMM"
"683","Sample_Box_IMM"
"684","Sample_Box_IMM"
"685","Sample_Box"
"686","Sample_Box_IMM"
"687","Sample_Box_IMM"
"688","Sample_Box_IMM"
"689","Sample_Box_IMM"
"690","Sample_Box_IMM"
"691","Sample_Box_IMM"
"692","Sample_Box_IMM"
"693","Sample_Box_IMM"
"694","Sample_Box_IMM"
"695","Sample_Box_IMM"
"696","Sample_Box"
"697","Sample_Box"
"698","Sample_Box"
"699","Sample_Box"
"700","Sample_Box"
"701","Trash"
"702","Trash"
"703","Sample_Box"
"704","Sample_Box"
"705","Sample_Box"
"706","Pool-Box"
"707","Sample_Box_IMM"
"708","Sample_Box_IMM"
"709","Sample_Box_IMM"
"710","Sample_Box_IMM"
"711","Sample_Box_IMM"
"712","Sample_Box_IMM"
"713","Sample_Box_IMM"
"714","Sample_Box_IMM"
"715","Sample_Box_IMM"
"716","Sample_Box_IMM"
"717","Sample_Box_IMM"
"718","Sample_Box_IMM"
"719","Sample_Box_IMM"
"720","Sample_Box_IMM"
"721","Sample_Box_IMM"
"722","Sample_Box_IMM"
"723","Sample_Box_IMM"
"724","Sample_Box_IMM"
"725","Sample_Box_IMM"
"726","Sample_Box_IMM"
"727","Sample_Box_IMM"
"728","Sample_Box_IMM"
"729","Sample_Box_IMM"
"730","Sample_Box_IMM"
"731","Sample_Box_IMM"
"732","Sample_Box_IMM"
"733","Sample_Box_IMM"
"734","Sample_Box_IMM"
"735","Sample_Box_IMM"
"736","Sample_Box_IMM"
"737","Sample_Box_IMM"
"738","Sample_Box_IMM"
"739","Sample_Box_IMM"
"740","Sample_Box_IMM"
"741","Sample_Box_IMM"
"742","Sample_Box_IMM"
"743","Trash"
"744","Sample_Box_IMM"
"745","Sample_Box"
"746","Sample_Box_IMM"
"747","Sample_Box_IMM"
"748","Sample_Box_IMM"
"749","Sample_Box_IMM"
"750","Sample_Box_IMM"
"751","Trash"
"752","Sample_Box"
"753","Sample_Box_IMM"
"754","Sample_Box_IMM"
"755","Sample_Box_IMM"
"756","IMM_check"
"757","Trash"
"758","Sample_Box_IMM"
"759","Sample_Box"
"760","Trash"
"761","Pool-Box"
"762","Sample_Box"
"763","Sample_Box"
"764","Trash"
"765","Sample_Box"
"766","Sample_Box"
"767","Trash"
"768","Sample_Box_IMM"
"769","Sample_Box_IMM"
"770","Sample_Box_IMM"
"771","Sample_Box_IMM"
"772","Sample_Box_IMM"
"773","Sample_Box_IMM"
"774","Sample_Box_IMM"
"775","Sample_Box_IMM"
"776","Sample_Box_IMM"
"777","Sample_Box_IMM"
"778","Sample_Box_IMM"
"779","Sample_Box_IMM"
"780","Sample_Box_IMM"
"781","Sample_Box_IMM"
"782","Sample_Box_IMM"
"783","Sample_Box"
"784","Sample_Box"
"785","Sample_Box"
"786","Sample_Box"
"787","Sample_Box"
"788","Trash"
"789","Sample_Box_IMM"
"790","Sample_Box_IMM"
"791","Sample_Box"
"792","Sample_Box_IMM"
"793","Sample_Box_IMM"
"794","Sample_Box_IMM"
"795","Sample_Box_IMM"
"796","Trash"
"797","Trash"
"798","Sample_Box"
"799","Trash"
"800","Sample_Box"
"801","Sample_Box"
"802","Sample_Box"
"803","Pool-Box"
"804","Sample_Box"
"805","Pool-Box"
"806","Sample_Box"
"807","Sample_Box"
"808","Sample_Box"
"809","Sample_Box"
"810","Sample_Box"
"811","Sample_Box"
"812","Sample_Box"
"813","Trash"
"814","Trash"
"815","Sample_Box"
"816","Sample_Box"
"817","Sample_Box"
"818","Sample_Box"
"819","Trash"
"820","Sample_Box"
"821","Sample_Box"
"822","IMM_check"
"823","Sample_Box"
"824","Trash"
"825","Sample_Box"
"826","Pool-Box"
"827","Trash"
"828","Sample_Box"
"829","Trash"
"830","Trash"
"831","Trash"
"832","Trash"
"833","Sample_Box"
"834","Sample_Box"
"835","Sample_Box"
"836","Sample_Box"
"837","Trash"
"838","Sample_Box"
"839","Sample_Box"
"840","Sample_Box"
"841","Sample_Box"
"842","Trash"
"843","Sample_Box"
"844","Sample_Box"
"845","Sample_Box"
"846","Trash"
"847","Trash"
"848","Trash"
"849","Sample_Box"
"850","Sample_Box"
"851","Trash"
"852","Sample_Box"
"853","Sample_Box_IMM"
"854","Sample_Box_IMM"
"855","Sample_Box_IMM"
"856","Sample_Box_IMM"
"857","IMM_check"
"858","Sample_Box"
"859","Sample_Box"
"860","Sample_Box"
"861","Sample_Box"
"862","Pool-Box"
"863","Trash"
"864","Trash"
"865","Trash"
"866","Sample_Box"
"867","Sample_Box"
"868","Sample_Box"
"869","Sample_Box_IMM"
"870","Sample_Box_IMM"
"871","Sample_Box"
"872","Pool-Box"
"873","Pool-Box"
"874","Sample_Box_IMM"
"875","Sample_Box"
"876","Sample_Box"
"877","Pool-Box"
"878","Sample_Box"
"879","Sample_Box"
"880","Sample_Box"
"881","Sample_Box"
"882","Sample_Box"
"883","Sample_Box"
"884","Trash"
